﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6hvwc95jXLw5z2kT73y6I5","#1 Crush","Garbage","Absolute Garbage (Special Edition)","1","6","285106","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:3gX40RMAy3BWUVpk7qp4e6","1000 Seconds","Secret Machines","Ten Silver Drops (U.S. Version)","1","8","315400","spotify:user:martinthetallguy","2018-02-22T11:34:36Z"
"spotify:track:2iIwJRJgz7Wv0hrvxQBWDI","123","Girlpool","123","1","1","170167","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:3Y8Ff1nH44jFywAtpgmleZ","1979","The Smashing Pumpkins","Mellon Collie and the Infinite Sadness (2012 - Remaster)","2","5","266200","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:43NYnRzxD9M4sVj4ndoQh2","20+Centuries","Kuroma","20+Centuries","1","1","153253","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:64yrDBpcdwEdNY9loyEGbX","21 Guns","Green Day","21st Century Breakdown","1","16","321093","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:4mHu872p0tvGCVzgsLQJ9C","8 Ball","Waxahatchee","Out in the Storm (Deluxe Version)","1","2","169160","spotify:user:martinthetallguy","2017-08-01T02:05:30Z"
"spotify:track:1tMHDdJEz8MFrkPFgwFACG","A.M. 180","Grandaddy","Under The Western Freeway","1","2","200666","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:3G96IWeFNYXV9BLvrxL4yr","All Nerve","The Breeders","All Nerve","1","1","131293","spotify:user:martinthetallguy","2018-03-07T13:31:46Z"
"spotify:track:3OshrpOY0mrErwr9lIPrrK","Another Evening, Another Town","The Pooches","The Pooches","1","3","178108","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:5TmQl8urbTlfZb8xKisSl0","Another Girl, Another Planet - 2008 re-mastered version","The Only Ones","The Only Ones","1","2","181173","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:2KZTWLym9G7QlY3qi9YaHA","Are You With Me Now?","Cate le Bon","Mug Museum","1","2","260573","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:0QBw220gXmGmzeWYyVplkO","Arms Length","Mellor","Arms Length","1","1","220473","spotify:user:martinthetallguy","2018-05-14T06:58:52Z"
"spotify:track:1PAKcvZUMSgEqRhmhZDeGk","Atomic","Blondie","Best Of Blondie","1","11","282240","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:5ecEVDHYX19tr4sbJLsnWB","Back In Your Head","Tegan and Sara, Ryan Adams","Back In Your Head","1","1","191173","spotify:user:martinthetallguy","2017-11-18T10:14:19Z"
"spotify:track:30FURVTCpbKyykjSEQzGkH","Back To Black","Amy Winehouse","Back To Black","1","5","240440","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:75ddrv8TuN7fqXPKz66FCZ","Backstreets","Shannon and The Clams","Backstreets","1","1","206600","spotify:user:martinthetallguy","2018-03-02T13:02:52Z"
"spotify:track:2Rl6ZqEnROhcAZdhGKp83U","Bad to Me","Loon Lake","Thirty Three","1","2","203289","spotify:user:martinthetallguy","2018-05-06T08:57:19Z"
"spotify:track:6UH0zVh1sY3SaenL1ndIr9","Bang Bang You're Dead","Dirty Pretty Things","Waterloo To Anywhere","1","3","212200","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:1Ir85J9IHw4LkQa1fWN5WQ","Bangs","Aaron Taos","Bangs","1","1","213000","spotify:user:martinthetallguy","2018-03-02T13:41:54Z"
"spotify:track:6L89mwZXSOwYl76YXfX13s","Basket Case","Green Day","Dookie","1","7","181533","spotify:user:martinthetallguy","2017-06-13T12:58:27Z"
"spotify:track:05KfyCEE6otdlT1pp2VIjP","Believer","Imagine Dragons","Believer","1","1","203782","spotify:user:martinthetallguy","2017-08-24T20:59:52Z"
