﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5dKBaysNJtfpyNTRa5lqDb","A-Punk","Vampire Weekend","Vampire Weekend","1","3","137760","spotify:user:martinthetallguy","2017-10-06T08:14:17Z"
"spotify:track:2JNrXBFpibrYszlSEIm1j7","After Party","Active Bird Community","After Party","1","1","152711","spotify:user:martinthetallguy","2018-03-07T13:41:40Z"
"spotify:track:305WCRhhS10XUcH6AEwZk6","Are You Gonna Be My Girl","Jet","Get Born","1","2","213800","spotify:user:martinthetallguy","2017-10-04T12:15:08Z"
"spotify:track:0QBw220gXmGmzeWYyVplkO","Arms Length","Mellor","Arms Length","1","1","220473","spotify:user:martinthetallguy","2018-05-14T06:58:56Z"
"spotify:track:1WGUQPLoro18HKQreniEEP","At Most A Kiss","Blossoms","At Most A Kiss","1","1","180453","spotify:user:martinthetallguy","2017-10-06T08:11:34Z"
"spotify:track:1PAKcvZUMSgEqRhmhZDeGk","Atomic","Blondie","Best Of Blondie","1","11","282240","spotify:user:martinthetallguy","2017-10-04T12:15:08Z"
"spotify:track:1Sj3uRl1BAiU6Flipr4ebr","Bang Bang You're Dead","Dirty Pretty Things","Waterloo To Anywhere (Non EU Version)","1","3","212200","spotify:user:martinthetallguy","2017-10-07T14:01:42Z"
"spotify:track:6L89mwZXSOwYl76YXfX13s","Basket Case","Green Day","Dookie","1","7","181533","spotify:user:martinthetallguy","2017-10-04T12:15:08Z"
"spotify:track:42k4DHocKxqyCT2TnagqKO","Black Jettas","Ima Robot","Public Access","1","2","214053","spotify:user:martinthetallguy","2018-04-05T15:40:54Z"
"spotify:track:71D4LseR0RADPbyvMeTIHR","Can't Stand Me Now","The Libertines","The Libertines","1","1","203733","spotify:user:martinthetallguy","2017-10-04T12:15:08Z"
"spotify:track:0LpeiD9TFPtw9ONYL2g3q0","Cardboard","Diet Cig","Over Easy","1","4","114922","spotify:user:martinthetallguy","2017-10-18T05:05:20Z"
"spotify:track:2VTQAjZr7FPoEJD2sNoH3o","Celebrity Skin","Hole","Celebrity Skin","1","1","162493","spotify:user:martinthetallguy","2017-10-04T12:15:08Z"
