﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1zuKjpp4t7BS8JPKi6mkQr","Angels","The xx","Coexist","1","1","171653","spotify:user:martinthetallguy","2018-04-02T09:44:44Z"
"spotify:track:2e7acUjSznykALgUlxKHLT","Babe, You Turn Me On","Nick Cave & The Bad Seeds","Abattoir Blues/The Lyre of Orpheus","2","3","261426","spotify:user:martinthetallguy","2018-04-05T04:52:56Z"
"spotify:track:0zScLh0yufjmMy0pAm97uE","Big Jet Plane","Angus & Julia Stone","Down the Way","1","4","239120","spotify:user:martinthetallguy","2018-04-05T05:08:16Z"
"spotify:track:1LomCMl5wD3MPVlC6smUHe","Don’t Delete The Kisses","Wolf Alice","Visions Of A Life","1","4","275226","spotify:user:martinthetallguy","2018-04-05T04:53:28Z"
"spotify:track:30s5dhREHtnVZ8doY48g0f","Dreams of You","Pllush","Please","1","1","166266","spotify:user:martinthetallguy","2018-04-30T11:04:17Z"
"spotify:track:5RYv0F3iiVSApm3QFVdtNl","Dreams Tonite","Alvvays","Dreams Tonite","1","1","196026","spotify:user:martinthetallguy","2018-04-05T04:50:33Z"
"spotify:track:2vffK7x95PKEtSY70qwo9n","Dreams Via Memories","Ceramic Animal","The Cart","1","2","290024","spotify:user:martinthetallguy","2018-04-24T06:29:36Z"
"spotify:track:1LzNfuep1bnAUR9skqdHCK","Fade Into You","Mazzy Star","So Tonight That I Might See","1","1","295600","spotify:user:martinthetallguy","2018-04-05T04:48:36Z"
"spotify:track:0it0jrQuMLidSEdbjmF9CL","Hot Dreams","Timber Timbre","Hot Dreams","1","2","293213","spotify:user:martinthetallguy","2018-05-10T11:42:03Z"
"spotify:track:70uv5NeI9aqrTkyCnixsZr","I Really Like It","Our Girl","I Really Like It","1","1","233725","spotify:user:martinthetallguy","2018-04-30T07:45:11Z"
"spotify:track:3Uz3K1Ctq6MOIDqRddKHXo","Kinky Love","Pale Saints","Flesh Balloon","1","3","244240","spotify:user:martinthetallguy","2018-04-05T04:48:28Z"
"spotify:track:70oY6gKgHfMlVLVxFROeiA","Lavender Kiss","The Licks","Lavender Kiss","1","1","243645","spotify:user:martinthetallguy","2018-05-27T07:49:55Z"
"spotify:track:3o1cohFfwd57rAvrbyVE5e","Love Love Love","Of Monsters and Men","My Head Is An Animal","1","8","238786","spotify:user:martinthetallguy","2018-04-05T13:16:31Z"
"spotify:track:0Au4QRVX0hwIRVv1svcqhD","Many Of Horror","Biffy Clyro","Only Revolutions","1","8","258573","spotify:user:martinthetallguy","2018-05-01T11:44:46Z"
"spotify:track:2hxV5yGCr1nIp5bQBxXL13","Maps","Yeah Yeah Yeahs","Fever To Tell (EU Version)","1","9","219760","spotify:user:martinthetallguy","2018-04-05T04:46:57Z"
"spotify:track:1PXGUlrMWirpockPkF6LPy","Moonlight Baby","The Dig","Moonlight Baby","1","1","318251","spotify:user:martinthetallguy","2018-04-05T05:15:44Z"
"spotify:track:7hRNdm3mpn7j6Oxid9Qkbu","Pick Me Apart","Active Bird Community","I've Been Going Swimming","1","2","217587","spotify:user:martinthetallguy","2018-06-04T11:52:48Z"
"spotify:track:46ef7Mc4JWV3b8eGQoTY45","Tangled up in Love","The Rifles","Singles Collection","1","4","205133","spotify:user:martinthetallguy","2018-04-05T04:49:39Z"
"spotify:track:6mORGLOz79w6VsCRLWYYuK","The Night We Met","Lord Huron","Strange Trails","1","14","208211","spotify:user:martinthetallguy","2018-04-05T05:04:34Z"
"spotify:track:3ZHfX6kbiY7JVsB63lLOLu","The Only Exception","Paramore","brand new eyes","1","6","267653","spotify:user:martinthetallguy","2018-04-02T12:11:12Z"
"spotify:track:6IhRSe0MHxlLkwEvdxv5PW","The Spells","Mrs. Magician","Strange Heaven","1","4","143666","spotify:user:martinthetallguy","2018-04-26T05:07:27Z"
"spotify:track:6jeWgaprnGyAsRhUcNuZKX","Toothpaste Kisses","The Maccabees","Colour It In","1","12","159320","spotify:user:martinthetallguy","2018-05-25T14:02:35Z"
"spotify:track:0PrfMU5saeyk6TqbpjsSEX","Torpedo Love","Thunderpussy","Torpedo Love","1","1","311973","spotify:user:martinthetallguy","2018-04-04T16:26:40Z"
"spotify:track:7psPPGwhFzP3pyOcb3ivcT","Unbelievers","Vampire Weekend","Modern Vampires of the City","1","2","202666","spotify:user:martinthetallguy","2018-04-05T05:55:35Z"
"spotify:track:5hytu1dzKRk7nqzhekBcIg","When I'm with You","The Britanys","When I'm with You","1","1","178000","spotify:user:martinthetallguy","2018-06-01T08:13:56Z"
"spotify:track:24tUbVy4fK42QlbARFp4bs","With You","The Subways","Young For Eternity (Japanese Version)","1","10","182173","spotify:user:martinthetallguy","2018-04-05T06:39:12Z"
