﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6b2oQwSGFkzsMtQruIWm2p","Creep","Radiohead","Pablo Honey","1","2","238640","spotify:user:martinthetallguy","2017-06-13T09:43:07Z"
"spotify:track:7A8caPxvrT8ZgLvQPPUCcj","Disarm","The Smashing Pumpkins","Siamese Dream (2011 - Remaster)","1","6","196920","spotify:user:martinthetallguy","2017-06-13T09:39:47Z"
"spotify:track:3aDUSpF3LexOr1lFKvPV2h","The Bends","Radiohead","The Bends","1","2","246200","spotify:user:martinthetallguy","2017-06-13T09:43:20Z"
"spotify:track:3cahGAUUQ0n55EjLBs2Wjo","Today","The Smashing Pumpkins","Siamese Dream (2011 - Remaster)","1","3","201173","spotify:user:martinthetallguy","2017-06-13T09:39:55Z"
"spotify:track:5jafMI8FLibnjkYTZ33m0c","High And Dry","Radiohead","The Bends","1","3","257480","spotify:user:martinthetallguy","2017-06-13T09:43:26Z"
"spotify:track:0AJTKW9fVFo3rIXbtTVE3T","Mayonaise","The Smashing Pumpkins","Siamese Dream (2011 - Remaster)","1","9","348773","spotify:user:martinthetallguy","2017-06-13T09:40:01Z"
"spotify:track:045sp2JToyTaaKyXkGejPy","Fake Plastic Trees","Radiohead","The Bends","1","4","290706","spotify:user:martinthetallguy","2017-06-13T09:43:33Z"
"spotify:track:3so2oO0PUu9Mj5YTgVd3ef","Quiet","The Smashing Pumpkins","Siamese Dream (2011 - Remaster)","1","2","222746","spotify:user:martinthetallguy","2017-06-13T09:40:28Z"
"spotify:track:6JzzI3YxHCcjZ7MCQS2YS1","Black Star","Radiohead","The Bends","1","10","247040","spotify:user:martinthetallguy","2017-06-13T09:43:46Z"
"spotify:track:6zwQeWS3allTz2jnhjuqUN","Spaceboy","The Smashing Pumpkins","Siamese Dream (2011 - Remaster)","1","10","267306","spotify:user:martinthetallguy","2017-06-13T09:47:40Z"
"spotify:track:5gz38AxRkD6Ywxd4fr2pLj","Street Spirit (Fade Out)","Radiohead","The Bends","1","12","253853","spotify:user:martinthetallguy","2017-06-13T09:43:53Z"
"spotify:track:162KlqRG2yNkCTASUU3EAR","Dancing In The Moonlight","The Smashing Pumpkins","Rarities & B-Sides","1","18","261533","spotify:user:martinthetallguy","2017-06-13T09:41:33Z"
"spotify:track:2nTsKOXIVGDf2iPeVQO2Gm","Paranoid Android","Radiohead","OK Computer","1","2","387213","spotify:user:martinthetallguy","2017-06-13T09:44:44Z"
"spotify:track:4iCGSi1RonREsPtfEKYj5b","Tonight, Tonight","The Smashing Pumpkins","Mellon Collie and the Infinite Sadness (2012 - Remaster)","1","2","254626","spotify:user:martinthetallguy","2017-06-13T09:41:58Z"
"spotify:track:4Na0siMtWOW9pJoWJ1Ponv","Exit Music (For a Film)","Radiohead","OK Computer","1","4","267186","spotify:user:martinthetallguy","2017-06-13T09:44:50Z"
"spotify:track:4qMzPtAZe0C9KWpWIzvZAP","Bullet With Butterfly Wings","The Smashing Pumpkins","Mellon Collie and the Infinite Sadness (2012 - Remaster)","1","6","258466","spotify:user:martinthetallguy","2017-06-13T09:42:06Z"
"spotify:track:3SVAN3BRByDmHOhKyIDxfC","Karma Police","Radiohead","OK Computer","1","6","264066","spotify:user:martinthetallguy","2017-06-13T09:44:57Z"
"spotify:track:2MJU4Ct0DHikcmaZnM1C4R","Bodies","The Smashing Pumpkins","Mellon Collie and the Infinite Sadness (2012 - Remaster)","2","2","252200","spotify:user:martinthetallguy","2017-06-13T18:13:11Z"
"spotify:track:1bSpwPhAxZwlR2enJJsv7U","No Surprises","Radiohead","OK Computer","1","10","229120","spotify:user:martinthetallguy","2017-06-13T09:45:04Z"
"spotify:track:3Y8Ff1nH44jFywAtpgmleZ","1979","The Smashing Pumpkins","Mellon Collie and the Infinite Sadness (2012 - Remaster)","2","5","266200","spotify:user:martinthetallguy","2017-06-13T09:42:20Z"
"spotify:track:6n7GUf2h8D2Ad2wUy5s7nE","Lucky","Radiohead","OK Computer","1","11","258813","spotify:user:martinthetallguy","2017-06-13T09:45:18Z"
"spotify:track:6GhARgb2Nl2GboIVdQsevV","We Only Come Out At Night","The Smashing Pumpkins","Mellon Collie and the Infinite Sadness (2012 - Remaster)","2","10","245253","spotify:user:martinthetallguy","2017-06-13T09:42:29Z"
