﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1K0F79D6b7XGDM667RpnsW","A Living Human Girl","The Regrettes","Feel Your Feelings Fool!","1","2","157933","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:3F395GaOXCVNDozy5WpK4j","Adult Diversion","Alvvays","Alvvays","1","1","207640","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:6guf5rr036GUC94cF4725F","Atomic","Sleeper, Rapino Brothers","Inbetweener - The Best of Sleeper","1","17","309893","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:37v3LZcy3S2Z77oG5COufs","Bamboo","Hinds","Very Best Of Hinds So Far","1","5","228000","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:1Z9eJAfzhCbf1QmTAwbHaB","Below","White Lung","Paradise","1","3","217453","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:4hgt4IFiiDkQAF4skTSlnn","Brother","The Organ","Grab That Gun","1","1","241440","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:11nv53N7ZnNTCgyl8yxvYd","Cannonball","The Breeders","Last Splash","1","2","213693","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:0LpeiD9TFPtw9ONYL2g3q0","Cardboard","Diet Cig","Over Easy","1","4","114922","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:2VTQAjZr7FPoEJD2sNoH3o","Celebrity Skin","Hole","Celebrity Skin","1","1","162493","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:0rrHOyrPy2DF7XtoAKByXD","Cheated Hearts","Yeah Yeah Yeahs","Show Your Bones","1","6","238133","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:1oCcvmRu50ZhgPsmyX3166","Cinderella Dracula","Tired Lion","Cinderella Dracula","1","1","170485","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:41AlRJniGbvQ8chU2xOp8z","Cool Slut","Chastity Belt","Time to Go Home","1","4","171586","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:12SlqTLIB7aONcBf8Q8vif","Crimson And Clover - Live","Joan Jett","Live... Long Island '81","1","20","206106","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
