﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4hHbeIIKO5Y5uLyIEbY9Gn","Come Fly With Me - 1998 Digital Remaster","Frank Sinatra","Come Fly With Me","1","1","198066","spotify:user:martinthetallguy","2018-02-09T03:48:24Z"
"spotify:track:1OxcIUqVmVYxT6427tbhDW","Fly Away","Lenny Kravitz","5","1","8","221373","spotify:user:martinthetallguy","2017-02-20T07:28:33Z"
"spotify:track:5v7Eh9qFbUPcjjF7xbLB7l","Airplanes","Local Natives","Gorilla Manor","1","2","238053","spotify:user:martinthetallguy","2017-05-21T07:31:25Z"
"spotify:track:0zScLh0yufjmMy0pAm97uE","Big Jet Plane","Angus & Julia Stone","Down the Way","1","4","239120","spotify:user:martinthetallguy","2017-02-20T15:26:25Z"
"spotify:track:4tjBDR8r3kxBXxQPeRTQgu","Learn to Fly","Foo Fighters","There Is Nothing Left To Lose","1","3","235293","spotify:user:martinthetallguy","2017-12-22T06:18:49Z"
"spotify:track:1bWfCi2SKycIoqsvNiEmqx","Leaving, on a Jet Plane","John Denver","3 Originals","1","2","238706","spotify:user:martinthetallguy","2017-02-20T06:48:21Z"
"spotify:track:6IVdxoD9xnZph6bygfbeLy","Waiting at the Airport","Rhian Sheehan","Waiting at the Airport","1","1","157301","spotify:user:martinthetallguy","2017-05-19T15:44:25Z"
"spotify:track:7DAVyQ7G1PQPpAx0orhJN6","Board That Plane","Honeysuckle","Honeysuckle","1","3","191546","spotify:user:martinthetallguy","2017-02-20T06:50:38Z"
"spotify:track:4Opwligc8799m8u2zm89Uo","Aeroplane","Holly Throsby","Aeroplane","1","1","231408","spotify:user:martinthetallguy","2017-02-20T06:46:42Z"
"spotify:track:492Tc1eAmmWuypm2GkMGcm","Jumbo Jet","Shout Out Louds","Jumbo Jet","1","1","332355","spotify:user:martinthetallguy","2017-10-14T09:53:40Z"
"spotify:track:27WFDkKt0QooDH7J8mkZZL","In Flight","Lowland Hum","In Flight","1","1","219371","spotify:user:martinthetallguy","2017-03-04T02:46:33Z"
"spotify:track:12UZkhdwvUiNiHILc2o5Ke","Flying","Secret Machines","Across The Universe (Deluxe)","1","14","235613","spotify:user:martinthetallguy","2018-02-22T11:37:53Z"
"spotify:track:2wsIXRo0yLlA4HK7RzBXtJ","The Earth from the Air","thevillainandi","The Earth from the Air","1","1","230839","spotify:user:martinthetallguy","2017-07-10T03:55:02Z"
"spotify:track:4npmzUFrFLhEM4MAgR5Oks","In The Aeroplane Over The Sea","Neutral Milk Hotel","In The Aeroplane Over The Sea","1","3","202560","spotify:user:martinthetallguy","2017-02-20T06:38:02Z"
"spotify:track:2a3KlwRjbAFPYMV2sdzsFM","Drunk On A Plane","Dierks Bentley","RISER","1","6","254466","spotify:user:martinthetallguy","2017-02-20T06:49:50Z"
"spotify:track:5UU3uJzuYYYZmK3AREon3s","Aeroplanes","The Woodlands","Secret Language","1","3","201413","spotify:user:martinthetallguy","2017-10-24T05:11:41Z"
"spotify:track:6mEq3wNJtQaGoXQmSTt7wb","Planes","Moira & Nieman","Planes","1","1","318119","spotify:user:martinthetallguy","2017-03-20T15:43:28Z"
"spotify:track:0S1zffRrOWBZFsd0f3KPCJ","Aeronaut","Billy Corgan","Aeronaut","1","1","219960","spotify:user:martinthetallguy","2017-10-05T09:59:36Z"
"spotify:track:3OshrpOY0mrErwr9lIPrrK","Another Evening, Another Town","The Pooches","The Pooches","1","3","178108","spotify:user:martinthetallguy","2017-03-29T17:56:23Z"
"spotify:track:49Y4wwiD7ji8oFpNh5IKRL","Travelling Song (feat. Gabrielle Huber & Cameron Potts)","Passenger","Flight of the Crow","1","7","158426","spotify:user:martinthetallguy","2017-05-04T10:29:11Z"
"spotify:track:0mDeIdjzP93v094WFOpLpl","Poetry and Aeroplanes","Teitur","Poetry & Airplanes","1","4","214400","spotify:user:martinthetallguy","2017-06-28T12:58:40Z"
"spotify:track:3w9KPE1qyoR4yMBu4snhru","Museum Of Flight","Damien Jurado","Maraqopa","1","9","170906","spotify:user:martinthetallguy","2017-09-17T06:21:05Z"
"spotify:track:3JamGwKA7sXSgCam3FFlIg","Flying on the Ground","Tellef Raabe","Flying on the Ground","1","1","192381","spotify:user:martinthetallguy","2017-07-07T01:55:17Z"
"spotify:track:0Gn93vt84eBTCwPElt7u7n","Plane Crash In Kansas","Syd Arthur","Apricity","1","2","172773","spotify:user:martinthetallguy","2017-07-24T10:06:27Z"
