﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:71WzoGZcDWzrKZqSkiY3Tz","Pretend","Hovvdy","Taster","1","9","153692","spotify:user:martinthetallguy","2017-05-13T06:52:51Z"
"spotify:track:3P5EAzNwT3tBafKX8xzyvf","Apocalypse","Cigarettes After Sex","Apocalypse","1","1","290146","spotify:user:martinthetallguy","2017-04-29T07:42:09Z"
"spotify:track:4qEEmRK9xYUn1YmOgvAyLQ","Start All Over Again","L'aupaire","Rollercoaster Girl - EP","1","3","216476","spotify:user:martinthetallguy","2017-04-07T03:59:36Z"
"spotify:track:0hTMUZ7vuxVLzihQDNV0b3","Honey","TRACE","Honey","1","1","248854","spotify:user:martinthetallguy","2017-04-07T11:15:25Z"
"spotify:track:09eSdS5RTgyodJt3krr5AC","Answer","Phantogram","Three","1","7","231600","spotify:user:martinthetallguy","2017-04-15T11:41:13Z"
"spotify:track:0tW4HHeUSlTtK5ttktWuD2","Heavy Heartless","Neon Waltz","Heavy Heartless","1","1","181493","spotify:user:martinthetallguy","2017-04-29T05:18:40Z"
"spotify:track:3FmJAfw1lh4VcmrlXSBrAC","This Strange Effect","The Shacks","The Shacks","1","1","201461","spotify:user:martinthetallguy","2017-05-05T05:21:51Z"
"spotify:track:0GN3fXUdsTHeUg50xfDS0V","Sugar for the Pill","Slowdive","Slowdive","1","4","270918","spotify:user:martinthetallguy","2017-05-13T06:52:30Z"
"spotify:track:5ftdTvmQjjsL23t7jxADfI","Brazil","Declan McKenna","Brazil","1","1","252306","spotify:user:martinthetallguy","2017-05-13T07:34:54Z"
"spotify:track:0zAe7oUseLPmS8EP8Yqfy2","Circadian Rhythm (Last Dance)","Silversun Pickups","Better Nature","1","6","229013","spotify:user:martinthetallguy","2017-05-17T08:29:32Z"
"spotify:track:5AbnF52F31U2IsRVwvT8BR","Can't Remember","Teen Body","Get Home Safe","1","1","296466","spotify:user:martinthetallguy","2017-05-17T12:59:16Z"
"spotify:track:1CsMuJeMzRqNgS7G0fo1Gv","How To Fight Loneliness","Wilco","Summerteeth","1","8","232026","spotify:user:martinthetallguy","2017-05-26T11:10:38Z"
"spotify:track:3Kj2EWpIBnvETsYq4cq0IH","Big Black Car","Gregory Alan Isakov","This Empty Northern Hemisphere","1","6","217466","spotify:user:martinthetallguy","2017-04-07T04:00:48Z"
"spotify:track:7lLBJZ7f2aKKCgWRnTz9uG","Your Koolest Smile","Flunk","For Sleepyheads Only","1","7","263836","spotify:user:martinthetallguy","2017-06-01T18:35:23Z"
"spotify:track:6QMrwp0056axC1ZveBs5Co","Depreston","Courtney Barnett","Sometimes I Sit and Think, and Sometimes I Just Sit","1","5","292853","spotify:user:martinthetallguy","2017-05-27T15:56:41Z"
"spotify:track:7rbCL7W893Zonbfnevku5s","I Need My Girl","The National","Trouble Will Find Me","1","10","245240","spotify:user:martinthetallguy","2017-06-03T10:11:16Z"
"spotify:track:4GwT2PoXxURFAsbX1DOzjd","Runner","Young Prisms","In Between","1","5","273533","spotify:user:martinthetallguy","2017-06-05T17:50:12Z"
"spotify:track:78GF0whJf6UAZTzgQoF5od","Mellow My Mind","Hederos & Hellberg","Together In The Darkness","1","2","233080","spotify:user:martinthetallguy","2017-06-08T19:40:08Z"
"spotify:track:239IJFSqoUEL2k8tWzblWm","Wish You Were Here","Sparklehorse","Maria's Little Elbows","1","3","418160","spotify:user:martinthetallguy","2017-06-09T08:52:37Z"
"spotify:track:0y6plLcx4WOqZ0E8t1uYHW","Off You","The Breeders","Title Tk","1","3","295666","spotify:user:martinthetallguy","2017-06-10T15:51:22Z"
"spotify:track:0QZ5yyl6B6utIWkxeBDxQN","The Night We Met","Lord Huron","Strange Trails","1","14","208226","spotify:user:martinthetallguy","2017-06-15T14:48:28Z"
"spotify:track:1rPCgtaIF0CyKRgAwhtpbF","Adore","Amy Shark","Adore","1","1","184999","spotify:user:martinthetallguy","2017-06-16T10:15:04Z"
"spotify:track:1Buh8ZFWaCoE6Yh3LhKZ4v","Cameos","Swimming Tapes","Cameos","1","1","191712","spotify:user:martinthetallguy","2017-06-19T11:46:01Z"
"spotify:track:5cH8a6wJ7sQGH9nX6ZslLv","Dragonfly","Pumarosa","Dragonfly","1","1","281933","spotify:user:martinthetallguy","2017-06-21T13:04:32Z"
"spotify:track:1pxMmqNbDEqlkNe7CISAGC","Tether","Blushing","Tether","1","1","277893","spotify:user:martinthetallguy","2017-06-28T00:34:45Z"
"spotify:track:3EEzQDCP8jRl2pEt9eDKMO","I Follow You","Melody's Echo Chamber","Melody's Echo Chamber","1","1","215586","spotify:user:martinthetallguy","2017-06-28T09:57:03Z"
"spotify:track:4l8OvC5XAothSMiLJrCQJv","Vomit","Girls","Father, Son, Holy Ghost","1","6","383600","spotify:user:martinthetallguy","2017-07-01T03:34:17Z"
"spotify:track:1A41ngk4gHc0cRGaTzxp1o","I Don't Know What You Want","Falling Off Maps","A Seaside Town In Winter","1","10","191466","spotify:user:martinthetallguy","2017-07-01T03:58:15Z"
"spotify:track:5NX6zFQHiMDcZcGkXl6AgE","Confines","Jessica Dennison & Jones","Confines","1","1","334223","spotify:user:martinthetallguy","2017-07-01T11:59:40Z"
"spotify:track:1KCNpRmrifTK73xDmzV6aF","No","Eric Slick","Palisades","1","3","249137","spotify:user:martinthetallguy","2017-07-01T12:11:15Z"
"spotify:track:7zAdmuSM43emjVSmwdBhSc","It Gets More Blue","Girlpool","Powerplant","1","11","206406","spotify:user:martinthetallguy","2017-07-02T06:39:24Z"
"spotify:track:09G86BPwwrdDoFBBmOo3z1","Guilty Party","The National","Guilty Party","1","1","338973","spotify:user:martinthetallguy","2017-07-03T10:01:13Z"
"spotify:track:71ehTADpxs85ULrZgSEKCy","Almost Lover","A Fine Frenzy","One Cell In The Sea","1","6","268800","spotify:user:martinthetallguy","2017-03-31T07:11:55Z"
"spotify:track:3gwZn4upefqB6hyM2aTvnA","Hide","Little May","Hide","1","1","211026","spotify:user:martinthetallguy","2017-07-10T08:49:44Z"
"spotify:track:1ZhEU556apTMLEz7WZs6FJ","Ice Field","Slow Skies","Keepsake","1","1","231644","spotify:user:martinthetallguy","2017-07-18T18:01:58Z"
"spotify:track:3qqGKouLcrweQaUKOfwGvL","Loving","Land Of Talk","Loving","1","1","228506","spotify:user:martinthetallguy","2017-07-25T14:55:39Z"
"spotify:track:0qCS9FZOPj0nYYy5cnGA7d","Go Unsteady","Le Pie","Go Unsteady","1","1","207480","spotify:user:martinthetallguy","2017-07-26T06:26:36Z"
"spotify:track:0rFamExb6nXbwaaEFK927h","Moon Face","Hachiku","Moon Face","1","1","244293","spotify:user:martinthetallguy","2017-07-29T12:37:37Z"
